consumidor,tipo_inmueble,moneda_region,mes,dia_semana,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_1,Casa,USD,12,2,1,9,12,472.94,Ineficiente
Usuario_2,Casa,PEN,12,4,1,28,1,972.45,Ineficiente
Usuario_3,Casa,USD,4,1,1,2,9,487.51,Ineficiente
Usuario_4,Apartamento,PEN,11,5,1,15,8,387.17,Ineficiente
Usuario_5,Oficina,BRL,1,6,0,28,6,755.35,Eficiente
Usuario_6,Oficina,MXN,4,6,1,6,7,476.43,Eficiente
Usuario_7,Casa,COP,6,4,1,3,12,258.43,Eficiente
Usuario_8,Comercio,CLP,2,3,1,19,11,1292.9,Ineficiente
Usuario_9,Oficina,CLP,4,5,1,15,13,670.22,Ineficiente
Usuario_10,Oficina,USD,4,6,1,18,8,842.4,Ineficiente
Usuario_11,Oficina,MXN,6,2,1,18,12,459.6,Eficiente
Usuario_12,Casa,CLP,11,1,1,16,3,675.38,Ineficiente
Usuario_13,Comercio,ARS,5,5,0,15,11,1292.06,Ineficiente
Usuario_14,Oficina,BRL,1,1,0,21,7,748.85,Eficiente
Usuario_15,Oficina,USD,4,4,0,21,4,522.26,Eficiente
Usuario_16,Comercio,ARS,11,3,1,9,4,665.27,Eficiente
Usuario_17,Oficina,PEN,10,3,0,26,6,608.19,Eficiente
Usuario_18,Apartamento,MXN,9,3,1,4,2,325.95,Moderado
Usuario_19,Apartamento,PEN,3,6,0,39,2,521.55,Eficiente
Usuario_20,Comercio,ARS,10,3,1,36,1,968.59,Eficiente
Usuario_21,Casa,PEN,9,6,1,22,2,605.56,Ineficiente
Usuario_22,Oficina,ARS,3,3,1,17,9,517.35,Eficiente
Usuario_23,Apartamento,CLP,2,6,0,33,10,446.91,Moderado
Usuario_24,Apartamento,MXN,6,6,1,34,1,546.77,Moderado
Usuario_25,Oficina,ARS,1,0,0,20,4,881.71,Moderado
Usuario_26,Casa,MXN,10,0,1,32,2,965.33,Ineficiente
Usuario_27,Apartamento,MXN,11,3,0,11,5,283.24,Eficiente
Usuario_28,Comercio,MXN,9,6,0,13,12,1030.22,Moderado
Usuario_29,Oficina,ARS,11,5,1,34,8,1012.6,Ineficiente
Usuario_30,Casa,MXN,4,0,1,38,9,486.2,Eficiente
Usuario_31,Apartamento,CLP,4,0,1,4,4,273.87,Ineficiente
Usuario_32,Casa,USD,6,0,1,18,11,380.64,Eficiente
Usuario_33,Comercio,MXN,9,1,0,37,10,761.75,Eficiente
Usuario_34,Comercio,MXN,8,6,1,7,2,1346.6,Ineficiente
Usuario_35,Comercio,COP,7,3,1,4,11,1383.85,Ineficiente
Usuario_36,Casa,USD,7,5,1,7,4,657.58,Ineficiente
Usuario_37,Apartamento,MXN,9,3,1,12,5,328.74,Eficiente
Usuario_38,Comercio,MXN,2,3,0,36,2,911.6,Eficiente
Usuario_39,Casa,PEN,9,6,1,6,13,485.57,Ineficiente
Usuario_40,Apartamento,MXN,7,3,1,26,1,588.76,Ineficiente
Usuario_41,Apartamento,ARS,1,3,1,30,5,420.15,Eficiente
Usuario_42,Comercio,PEN,12,6,1,32,3,1143.84,Ineficiente
Usuario_43,Apartamento,COP,4,0,1,35,1,333.05,Eficiente
Usuario_44,Oficina,USD,1,4,1,34,3,1339.97,Ineficiente
Usuario_45,Casa,CLP,2,6,1,39,2,588.41,Moderado
Usuario_46,Apartamento,ARS,2,4,1,39,1,849.65,Ineficiente
Usuario_47,Casa,ARS,11,4,1,21,5,519.49,Eficiente
Usuario_48,Apartamento,PEN,12,2,1,26,3,523.73,Ineficiente
Usuario_49,Oficina,ARS,6,6,0,1,8,640.78,Moderado
Usuario_50,Casa,USD,9,1,1,9,6,331.21,Eficiente
Usuario_51,Casa,MXN,6,2,1,35,12,1137.16,Ineficiente
Usuario_52,Oficina,CLP,11,4,1,36,5,975.24,Ineficiente
Usuario_53,Casa,MXN,5,0,0,36,3,1129.53,Ineficiente
Usuario_54,Oficina,COP,10,1,0,14,11,960.58,Ineficiente
Usuario_55,Oficina,CLP,8,2,0,4,2,573.55,Moderado
Usuario_56,Comercio,BRL,5,0,1,9,11,1409.86,Ineficiente
Usuario_57,Oficina,MXN,12,3,1,28,9,659.22,Eficiente
Usuario_58,Casa,USD,2,5,0,35,1,576.69,Eficiente
Usuario_59,Oficina,CLP,9,1,1,3,5,304.29,Eficiente
Usuario_60,Oficina,BRL,1,2,1,16,11,801.93,Moderado
Usuario_61,Casa,COP,9,6,1,10,4,446.39,Moderado
Usuario_62,Apartamento,BRL,3,3,1,22,13,414.07,Moderado
Usuario_63,Comercio,BRL,11,6,0,16,5,1419.59,Ineficiente
Usuario_64,Apartamento,BRL,12,0,1,3,8,322.16,Moderado
Usuario_65,Apartamento,MXN,8,2,1,15,4,344.45,Eficiente
Usuario_66,Casa,PEN,4,3,1,5,13,423.37,Ineficiente
Usuario_67,Oficina,COP,11,4,1,35,6,606.82,Eficiente
Usuario_68,Casa,USD,5,1,1,17,1,681.47,Ineficiente
Usuario_69,Casa,CLP,7,2,0,21,7,361.65,Eficiente
Usuario_70,Casa,ARS,10,1,1,28,1,1001.96,Ineficiente
Usuario_71,Apartamento,COP,7,0,0,22,10,656.17,Ineficiente
Usuario_72,Oficina,PEN,2,5,0,33,5,666.66,Eficiente
Usuario_73,Comercio,COP,7,5,1,9,4,564.46,Eficiente
Usuario_74,Comercio,PEN,7,5,0,12,10,1230.93,Ineficiente
Usuario_75,Oficina,ARS,9,6,1,19,4,937.28,Ineficiente
Usuario_76,Comercio,BRL,10,4,0,30,8,1499.12,Moderado
Usuario_77,Comercio,PEN,4,4,1,11,11,1026.53,Ineficiente
Usuario_78,Casa,COP,9,5,0,22,2,372.27,Eficiente
Usuario_79,Apartamento,PEN,5,1,0,10,1,273.16,Eficiente
Usuario_80,Casa,MXN,8,4,0,5,8,321.07,Eficiente
Usuario_81,Comercio,PEN,10,1,0,25,8,1250.95,Ineficiente
Usuario_82,Comercio,MXN,3,5,0,7,13,1063.54,Ineficiente
Usuario_83,Comercio,MXN,3,6,0,34,8,1040.56,Eficiente
Usuario_84,Casa,CLP,4,6,1,9,13,252.02,Eficiente
Usuario_85,Comercio,PEN,9,4,1,29,10,806.58,Moderado
Usuario_86,Comercio,BRL,9,3,0,31,8,1052.49,Eficiente
Usuario_87,Oficina,BRL,4,6,0,34,8,1231.75,Ineficiente
Usuario_88,Apartamento,COP,8,0,0,16,5,452.2,Moderado
Usuario_89,Oficina,COP,9,0,1,15,7,968.18,Ineficiente
Usuario_90,Apartamento,PEN,4,0,1,22,9,403.37,Ineficiente
Usuario_91,Comercio,ARS,1,1,0,25,13,819.26,Eficiente
Usuario_92,Casa,BRL,10,3,1,23,5,841.53,Ineficiente
Usuario_93,Comercio,BRL,7,4,0,35,13,1840.33,Ineficiente
Usuario_94,Apartamento,ARS,4,2,1,2,7,301.47,Moderado
Usuario_95,Oficina,PEN,11,6,1,11,8,765.82,Ineficiente
Usuario_96,Apartamento,CLP,9,0,0,38,10,515.83,Moderado
Usuario_97,Casa,USD,11,3,1,30,3,662.41,Moderado
Usuario_98,Casa,COP,7,2,1,21,6,642.71,Ineficiente
Usuario_99,Comercio,COP,7,2,0,31,1,715.92,Eficiente
Usuario_100,Casa,COP,4,5,1,3,13,277.99,Eficiente
Usuario_101,Casa,MXN,4,6,1,10,4,312.24,Eficiente
Usuario_102,Apartamento,ARS,11,0,1,14,8,451.54,Ineficiente
Usuario_103,Oficina,BRL,6,1,0,8,13,618.84,Eficiente
Usuario_104,Apartamento,COP,2,4,1,20,10,508.67,Ineficiente
Usuario_105,Comercio,ARS,12,1,1,16,2,1579.06,Ineficiente
Usuario_106,Oficina,BRL,11,4,0,37,13,811.24,Eficiente
Usuario_107,Casa,COP,9,3,0,5,9,413.75,Moderado
Usuario_108,Oficina,USD,7,6,1,28,6,1128.63,Ineficiente
Usuario_109,Comercio,PEN,3,3,1,34,11,765.31,Eficiente
Usuario_110,Oficina,CLP,9,6,1,28,12,441.12,Eficiente
Usuario_111,Oficina,COP,4,6,0,18,8,601.65,Eficiente
Usuario_112,Apartamento,BRL,8,4,0,25,6,383.66,Eficiente
Usuario_113,Casa,ARS,6,1,1,23,13,898.54,Ineficiente
Usuario_114,Oficina,COP,5,4,0,18,9,952.17,Ineficiente
Usuario_115,Casa,CLP,4,0,1,27,8,628.3,Ineficiente
Usuario_116,Apartamento,PEN,8,5,0,29,13,631.85,Ineficiente
Usuario_117,Casa,USD,5,1,1,16,5,670.96,Ineficiente
Usuario_118,Oficina,ARS,9,4,1,36,6,681.8,Eficiente
Usuario_119,Oficina,PEN,8,2,1,15,2,879.12,Ineficiente
Usuario_120,Apartamento,COP,2,5,1,12,4,434.74,Ineficiente
Usuario_121,Apartamento,PEN,8,2,0,34,10,657.84,Ineficiente
Usuario_122,Oficina,USD,4,2,1,12,5,891.67,Ineficiente
Usuario_123,Casa,PEN,9,1,1,4,9,333.14,Moderado
Usuario_124,Oficina,PEN,3,5,0,32,2,509.96,Eficiente
Usuario_125,Casa,CLP,5,3,1,22,3,391.94,Eficiente
Usuario_126,Casa,COP,8,0,0,26,8,601.78,Eficiente
Usuario_127,Casa,CLP,11,5,1,10,13,548.77,Ineficiente
Usuario_128,Oficina,USD,4,0,1,27,10,1045.88,Ineficiente
Usuario_129,Apartamento,BRL,9,3,1,29,5,329.21,Eficiente
Usuario_130,Comercio,COP,10,4,1,7,13,881.71,Ineficiente
Usuario_131,Apartamento,PEN,4,2,0,11,4,297.69,Eficiente
Usuario_132,Apartamento,CLP,2,1,1,29,12,384.6,Moderado
Usuario_133,Comercio,COP,1,1,1,19,12,740.59,Eficiente
Usuario_134,Comercio,USD,11,1,0,38,11,941.37,Eficiente
Usuario_135,Apartamento,ARS,2,4,1,10,5,585.53,Ineficiente
Usuario_136,Apartamento,USD,1,1,0,39,12,564.82,Moderado
Usuario_137,Oficina,ARS,2,3,0,26,5,1002.01,Moderado
Usuario_138,Comercio,ARS,2,4,1,28,12,1523.05,Ineficiente
Usuario_139,Oficina,CLP,5,0,1,37,10,690.34,Moderado
Usuario_140,Casa,BRL,11,6,1,3,13,705.42,Ineficiente
Usuario_141,Apartamento,ARS,9,5,1,18,3,625.6,Ineficiente
Usuario_142,Comercio,PEN,8,0,1,27,6,741.22,Eficiente
Usuario_143,Oficina,PEN,2,6,1,27,12,858.3,Ineficiente
Usuario_144,Comercio,COP,11,3,0,36,1,934.57,Eficiente
Usuario_145,Comercio,USD,6,2,1,26,9,803.44,Moderado
Usuario_146,Casa,PEN,9,3,1,13,9,274.69,Eficiente
Usuario_147,Oficina,CLP,8,5,1,4,4,579.14,Ineficiente
Usuario_148,Oficina,CLP,3,2,1,32,2,750.26,Moderado
Usuario_149,Casa,PEN,10,6,1,11,5,271.08,Eficiente
Usuario_150,Casa,CLP,7,0,1,8,8,376.49,Moderado
Usuario_151,Casa,PEN,3,3,0,19,9,719.29,Ineficiente
Usuario_152,Oficina,ARS,8,3,1,36,3,727.73,Eficiente
Usuario_153,Comercio,MXN,10,4,0,9,2,661.32,Eficiente
Usuario_154,Oficina,BRL,7,2,0,33,5,1148.63,Moderado
Usuario_155,Casa,COP,12,2,0,38,11,1252.2,Ineficiente
Usuario_156,Comercio,BRL,3,3,1,23,6,893.25,Eficiente
Usuario_157,Comercio,ARS,6,6,1,16,10,1158.66,Ineficiente
Usuario_158,Comercio,MXN,7,0,1,31,12,1707.1,Ineficiente
Usuario_159,Comercio,ARS,11,6,0,10,8,718.69,Eficiente
Usuario_160,Casa,MXN,9,4,1,7,8,620.14,Ineficiente
Usuario_161,Casa,CLP,8,0,0,27,11,492.99,Moderado
Usuario_162,Apartamento,USD,8,6,0,22,10,487.99,Ineficiente
Usuario_163,Comercio,PEN,2,6,1,35,7,1320.68,Ineficiente
Usuario_164,Oficina,PEN,12,6,1,35,1,967.85,Ineficiente
Usuario_165,Casa,MXN,11,5,0,15,12,373.1,Eficiente
Usuario_166,Casa,ARS,2,6,0,7,8,737.16,Ineficiente
Usuario_167,Apartamento,PEN,5,0,1,4,5,220.43,Moderado
Usuario_168,Oficina,COP,7,1,1,27,10,680.0,Moderado
Usuario_169,Apartamento,MXN,3,0,0,25,10,309.49,Eficiente
Usuario_170,Apartamento,ARS,10,1,1,17,8,466.35,Ineficiente
Usuario_171,Oficina,PEN,1,6,1,19,11,910.02,Ineficiente
Usuario_172,Apartamento,USD,8,2,0,20,11,234.3,Eficiente
Usuario_173,Comercio,PEN,5,3,0,13,7,849.42,Moderado
Usuario_174,Comercio,USD,4,3,1,37,5,823.19,Eficiente
Usuario_175,Oficina,USD,11,3,1,37,11,991.16,Ineficiente
Usuario_176,Casa,CLP,12,3,0,19,13,402.34,Eficiente
Usuario_177,Apartamento,CLP,6,1,0,17,11,413.62,Ineficiente
Usuario_178,Apartamento,PEN,2,5,0,20,13,409.64,Moderado
Usuario_179,Comercio,USD,10,2,0,6,5,1149.47,Ineficiente
Usuario_180,Oficina,PEN,7,1,1,35,6,628.48,Eficiente
Usuario_181,Oficina,BRL,3,2,0,31,13,844.7,Eficiente
Usuario_182,Oficina,PEN,6,6,1,5,3,366.01,Eficiente
Usuario_183,Apartamento,BRL,11,5,0,26,13,783.08,Ineficiente
Usuario_184,Oficina,USD,7,0,1,8,8,958.2,Ineficiente
Usuario_185,Oficina,PEN,12,5,1,25,11,656.11,Moderado
Usuario_186,Oficina,USD,11,1,1,36,6,992.87,Ineficiente
Usuario_187,Apartamento,PEN,2,5,0,20,11,588.36,Ineficiente
Usuario_188,Comercio,USD,3,0,0,20,8,993.47,Moderado
Usuario_189,Casa,USD,4,4,1,30,6,666.49,Moderado
Usuario_190,Comercio,CLP,12,5,1,27,11,798.13,Moderado
Usuario_191,Casa,BRL,8,4,1,18,1,410.87,Eficiente
Usuario_192,Oficina,MXN,8,3,0,24,2,1191.48,Ineficiente
Usuario_193,Oficina,CLP,11,2,1,18,4,869.64,Ineficiente
Usuario_194,Casa,BRL,8,0,0,39,1,979.58,Moderado
Usuario_195,Casa,BRL,6,1,0,37,4,727.94,Eficiente
Usuario_196,Casa,BRL,9,1,1,15,6,535.35,Moderado
Usuario_197,Apartamento,BRL,10,0,1,10,3,477.34,Ineficiente
Usuario_198,Oficina,BRL,3,0,0,2,3,927.01,Ineficiente
Usuario_199,Casa,COP,4,4,1,12,5,696.4,Ineficiente
Usuario_200,Casa,MXN,12,3,1,5,8,711.71,Ineficiente
Usuario_201,Comercio,BRL,6,4,1,29,9,1389.09,Ineficiente
Usuario_202,Apartamento,CLP,1,5,0,34,5,348.38,Eficiente
Usuario_203,Comercio,PEN,1,0,0,26,7,755.53,Eficiente
Usuario_204,Casa,ARS,12,3,1,6,6,754.48,Ineficiente
Usuario_205,Apartamento,USD,3,2,0,38,9,632.17,Moderado
Usuario_206,Oficina,ARS,10,4,1,33,10,511.97,Eficiente
Usuario_207,Comercio,USD,12,0,0,36,12,797.01,Eficiente
Usuario_208,Apartamento,ARS,8,1,1,30,7,639.33,Ineficiente
Usuario_209,Comercio,PEN,2,2,1,17,6,552.62,Eficiente
Usuario_210,Apartamento,PEN,8,0,1,6,2,193.7,Eficiente
Usuario_211,Comercio,USD,12,5,1,9,9,1019.85,Ineficiente
Usuario_212,Casa,CLP,9,4,1,8,7,481.36,Ineficiente
Usuario_213,Oficina,BRL,11,6,1,4,5,799.25,Ineficiente
Usuario_214,Oficina,COP,2,4,1,10,11,577.28,Moderado
Usuario_215,Comercio,MXN,2,2,0,24,2,1547.94,Ineficiente
Usuario_216,Oficina,CLP,4,6,1,36,13,593.78,Moderado
Usuario_217,Casa,CLP,11,6,0,2,3,304.83,Eficiente
Usuario_218,Oficina,PEN,5,2,1,12,3,762.38,Ineficiente
Usuario_219,Comercio,USD,3,5,0,2,2,894.74,Moderado
Usuario_220,Apartamento,ARS,7,3,1,24,5,755.31,Ineficiente
Usuario_221,Oficina,BRL,10,4,1,4,3,802.86,Ineficiente
Usuario_222,Apartamento,BRL,10,0,0,18,8,510.32,Moderado
Usuario_223,Comercio,ARS,10,3,1,14,13,619.59,Eficiente
Usuario_224,Casa,COP,7,0,1,38,8,764.21,Moderado
Usuario_225,Oficina,USD,4,3,0,4,1,460.29,Eficiente
Usuario_226,Apartamento,COP,4,6,1,17,5,315.48,Eficiente
Usuario_227,Oficina,USD,1,3,0,12,3,1078.14,Ineficiente
Usuario_228,Comercio,CLP,12,1,1,23,2,908.62,Moderado
Usuario_229,Comercio,BRL,12,0,1,30,2,1935.48,Ineficiente
Usuario_230,Oficina,CLP,7,4,1,27,5,912.35,Ineficiente
Usuario_231,Casa,ARS,1,2,1,30,12,1041.02,Ineficiente
Usuario_232,Oficina,USD,7,6,1,28,10,918.06,Ineficiente
Usuario_233,Comercio,CLP,2,3,0,22,4,1067.05,Ineficiente
Usuario_234,Oficina,BRL,3,0,1,8,9,739.42,Ineficiente
Usuario_235,Apartamento,BRL,6,2,0,10,4,286.29,Eficiente
Usuario_236,Casa,MXN,5,1,1,10,13,653.95,Ineficiente
Usuario_237,Casa,MXN,11,3,1,37,13,654.33,Moderado
Usuario_238,Comercio,PEN,10,5,0,21,11,514.81,Eficiente
Usuario_239,Oficina,MXN,8,0,1,20,13,945.31,Ineficiente
Usuario_240,Oficina,CLP,1,2,1,20,8,530.84,Eficiente
Usuario_241,Comercio,USD,1,2,0,5,11,1310.93,Ineficiente
Usuario_242,Casa,CLP,10,4,1,38,9,914.64,Ineficiente
Usuario_243,Casa,ARS,10,5,1,39,8,1103.12,Ineficiente
Usuario_244,Apartamento,USD,8,0,0,22,12,384.18,Moderado
Usuario_245,Casa,CLP,11,1,1,29,8,322.38,Eficiente
Usuario_246,Apartamento,COP,6,2,1,22,11,635.47,Ineficiente
Usuario_247,Casa,BRL,11,5,1,22,2,648.99,Moderado
Usuario_248,Comercio,COP,5,5,0,39,3,1664.73,Ineficiente
Usuario_249,Oficina,USD,10,5,1,23,5,1069.52,Ineficiente
Usuario_250,Comercio,MXN,10,5,0,20,9,1437.03,Ineficiente
Usuario_251,Comercio,PEN,6,6,1,34,2,825.93,Eficiente
Usuario_252,Comercio,CLP,6,0,1,12,4,705.72,Moderado
